"Rafael John Castro","February 16, 0203",1821,0986786765,male,cs,sacsacac,rafaeljohn1211@gmail.com
"yan yan","February 12, 2003",21,98239723422,female,it,sadadsdsadsa,rafaeljohn1211@gmail.com
Carlo,"August 22, 2024",0,09858567855,male,it,sadasd,rajocastro1211@gmail.com
Cardo,"February 13, 2005",19,0383733232,male,se,dasdasdsa,rajocastro1211@gmail.com
Diwata,"November 3, 1985",38,0943534543535,male,it,sddsaasdads,raf@gmail.com
Test,"November 12, 2004",19,09893737363,male,ds,dsasadads,rafaeljohn1211@gmail.com
"Test v2","February 12, 2008",16,0812612512512,male,se,sasadsadsa,raf@gmail.com
"John ","December 12, 2002",21,0872356353,male,it,scdasadasd,rawnfqabdc@gmail.com
Doe,"February 12, 2003",21,98239723422,male,cs,sasasad,castro.rafaeljohn@auf.edu.ph
demo,"February 12, 2008",16,09858567855,male,is,dasadssadsd,rawnfqabdc@gmail.com
"demo 2","December 12, 2004",19,0943534543535,male,se,dasdsdsa,rawnfqabdc@gmail.com
